File lines:       65536
processed lines:  65536
mean:             3.9708648432464576e-05
blocklen, mad, std, stdEst, stdEstErr
65536 0.0555666133583371 0.06664175684746772 0.000260321348787272 7.190484195777746e-07
32768 0.047104503854561317 0.05767615749629454 0.0003186236280854276 1.2446425390915615e-06
16384 0.03851329051928867 0.0476878762987657 0.00037257290378030347 2.0582567729501594e-06
8192 0.029727218168145136 0.037132643671972325 0.00041028666992269885 3.205560266614012e-06
4096 0.021966045073403537 0.027578926011652415 0.0004309733311926804 4.7622089378953575e-06
2048 0.015738653180951308 0.019969491280418968 0.0004413753552257414 6.898174255608152e-06
1024 0.011523041624413123 0.014522117262769673 0.00045403791681510427 1.0037817784643852e-05
512 0.008042799343915025 0.010180996150070174 0.0004503807534821294 1.4088163242561163e-05
256 0.005746046071977425 0.007059418862602628 0.0004420779572706463 1.9575540976402128e-05
128 0.004085510361646871 0.005038654957589298 0.00044710832753186365 2.80540715635481e-05
64 0.0029092615821153262 0.0035625699507240145 0.00044884162466130354 3.9985990009656744e-05
32 0.002475350454113922 0.002871563306365276 0.0005157479949287398 6.550006085604356e-05
16 0.0018951784644373896 0.002344714193416937 0.0006054026015146635 0.00011053088707396414
8 0.0007400835574898148 0.001057911729908812 0.000399853049485264 0.00010686522258790175
4 0.0006520014598713685 0.0008091822195987166 0.0004671815723087779 0.0001907260782312782
2 0.0006520014598713685 0.0009220693072371466 0.0009220693072371466 0.0006520014598713685
